Date,Year,Month,Channel,Data_Source,Campaign_Name,Impressions,Clicks,CTR,Spend,CPC,Conversions,CVR,Revenue,ROAS
2023-01-01,2023,1,Programmatic,Amazon Ad Server,AMZ_DSP_Prospecting_Q1,39547,57,0.001441,27.24,0.4779,1,0.017544,76.29,2.8
2023-01-01,2023,1,Programmatic,Amazon Ad Server,AMZ_DSP_Retargeting_AlwaysOn,20839,15,0.00072,5.91,0.3938,0,0.0,0.0,0.0
2023-01-01,2023,1,Programmatic,StackAdapt,SA_Native_Awareness,25252,30,0.001188,15.29,0.5098,0,0.0,0.0,0.0
2023-01-01,2023,1,Programmatic,StackAdapt,SA_Video_Intent,32232,39,0.00121,16.41,0.4208,0,0.0,0.0,0.0
2023-01-01,2023,1,Paid Search,Google Ads,GG_Search_Brand_Core,34873,1449,0.041551,3961.0,2.7336,45,0.031056,4562.09,1.15
2023-01-01,2023,1,Paid Search,Google Ads,GG_Search_NonBrand_Generic,52483,3301,0.062897,9715.11,2.9431,170,0.0515,14155.1,1.46
2023-01-01,2023,1,Paid Search,Google Ads,GG_PerformanceMax_Products,24686,612,0.024791,1206.65,1.9716,13,0.021242,1131.21,0.94
2023-01-01,2023,1,Paid Search,Bing Ads,BG_Search_Brand,33660,1963,0.058318,3919.07,1.9965,88,0.044829,7917.27,2.02
2023-01-01,2023,1,Paid Search,Bing Ads,BG_Search_Competitors,36133,2265,0.062685,4441.84,1.9611,88,0.038852,7871.46,1.77
2023-01-01,2023,1,Paid Social,Facebook Ads,FB_Prospecting_Lookalike,18571,219,0.011793,238.94,1.091,6,0.027397,274.22,1.15
2023-01-01,2023,1,Paid Social,Facebook Ads,FB_Retargeting_DPA,35058,299,0.008529,406.83,1.3606,11,0.036789,938.14,2.31
2023-01-01,2023,1,Paid Social,Facebook Ads,IG_Stories_Engagement,28551,215,0.00753,193.04,0.8979,4,0.018605,394.92,2.05
2023-01-01,2023,1,Paid Social,LinkedIn Ads,LI_B2B_DecisionMakers,28413,458,0.016119,523.9,1.1439,8,0.017467,760.78,1.45
2023-01-01,2023,1,Paid Social,LinkedIn Ads,LI_LeadGen_Whitepaper,33552,366,0.010908,403.07,1.1013,7,0.019126,446.39,1.11
2023-01-01,2023,1,Organic,Google Search Console,SEO_Organic_Blog,29430,786,0.026707,0.0,0.0,7,0.008906,495.98,
2023-01-01,2023,1,Organic,Google Search Console,SEO_Organic_ProductPages,47104,455,0.009659,0.0,0.0,7,0.015385,601.32,
2023-01-01,2023,1,Organic,Organic Social Platform,SM_LinkedIn_Organic,78602,1604,0.020407,0.0,0.0,24,0.014963,2162.34,
2023-01-01,2023,1,Organic,Organic Social Platform,SM_Instagram_Organic,33001,1034,0.031332,0.0,0.0,13,0.012573,1378.54,
2023-01-02,2023,1,Programmatic,Amazon Ad Server,AMZ_DSP_Prospecting_Q1,33800,42,0.001243,22.78,0.5423,0,0.0,0.0,0.0
2023-01-02,2023,1,Programmatic,Amazon Ad Server,AMZ_DSP_Retargeting_AlwaysOn,38068,41,0.001077,20.39,0.4974,0,0.0,0.0,0.0
2023-01-02,2023,1,Programmatic,StackAdapt,SA_Native_Awareness,43540,58,0.001332,29.33,0.5056,1,0.017241,92.9,3.17
2023-01-02,2023,1,Programmatic,StackAdapt,SA_Video_Intent,52324,145,0.002771,69.02,0.476,1,0.006897,66.45,0.96
2023-01-02,2023,1,Paid Search,Google Ads,GG_Search_Brand_Core,23187,1258,0.054255,4063.65,3.2302,66,0.052464,6448.93,1.59
